                73
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
               148
          0.389573          -1.64599        -0.0425474
           0.66415          -2.39013         -0.533735
          0.403456          -2.02374          -2.50238
         -0.779525          -1.90127         -0.794087
          -2.09566          -2.00143         -0.630218
          -2.62703          -2.49699         -0.204501
           2.48304          -2.61598          -1.33229
           1.94284         -0.652384          -2.14778
          0.333935          -2.09037          -2.50263
          0.145035         -0.606189           2.16845
           3.12082         0.0140299          0.653793
            2.2457           2.05581          0.300373
          0.992844           2.12707         -0.891987
          0.403523            1.7736          -2.81153
          -1.11559           -2.9415           2.95411
          -2.66264          -1.35016          -2.69152
           2.92072           1.16095           0.49605
             1.269           1.71055           0.17086
         -0.524874           1.34233         -0.187937
          -0.60587           2.63418           1.40164
          0.881596            -1.612           2.53067
            1.0264         -0.490182          -1.29166
          0.571674          0.527489        -0.0684661
          -1.53587         -0.453067          0.629032
           2.51936           0.09263         -0.547033
             1.589          0.709321          -1.42156
           1.00619          -2.67065         -0.871744
          -1.46274          -2.05251         -0.212481
          -2.61156          -1.40638          -1.46737
           -2.9281          0.290754          -1.00258
          -2.76398           2.29523          -2.23151
          -2.60065           -2.2609          -2.06953
          -2.85787          -2.25466           3.12069
           2.64205             2.167           2.53166
           2.06428           2.29321           1.88288
           2.17834          -2.80735          -2.88055
           2.50965          -1.04653          -2.03379
           1.20766           1.12699           1.83084
          0.247401           2.11051          0.682323
          -0.75398          -2.88596        -0.0432544
          -1.23565          -2.57378         -0.104769
         -0.861937          -2.45256         -0.377023
          -1.69333          -1.64198         -0.440922
           2.61082           -1.1834           1.19564
           0.46088          -1.42437           2.66005
          -1.17899          -0.40981          -3.01566
          -1.10853          0.543431          -0.98229
            2.9159            1.2408          0.517431
