     2.45437E-02     1.57495E-21     6.49993E-03    -2.69736E-04     2.43187E-04    -3.73664E-05     2.93381E-05    -1.03017E-05     9.41233E-06    -5.92201E-06     6.48759E-06
     3.68155E-02     2.61389E-21     1.40023E-02    -8.07930E-04     1.07702E-03    -2.22946E-04     2.50477E-04    -1.14172E-04     1.43338E-04    -1.12610E-04     1.65404E-04
     4.90874E-02     2.97454E-21     2.35901E-02    -1.66248E-03     2.90728E-03    -7.12235E-04     1.01463E-03    -5.27705E-04     8.06092E-04    -6.93115E-04     1.20460E-03
     7.36311E-02     2.37566E-20     4.68639E-02    -4.14630E-03     1.04899E-02    -3.07859E-03     5.98673E-03    -3.55258E-03     6.94920E-03    -6.52380E-03     1.38581E-02
     9.81748E-02    -4.36751E-21     7.29140E-02    -7.30516E-03     2.36944E-02    -7.64280E-03     1.82556E-02    -1.15694E-02     2.66672E-02    -2.63219E-02     6.37399E-02
     1.34990E-01    -5.87629E-21     1.13024E-01    -1.26122E-02     5.28884E-02    -1.84571E-02     5.45099E-02    -3.62825E-02     9.94026E-02    -1.01249E-01     2.83096E-01
     1.96350E-01     8.66091E-20     1.76312E-01    -2.17938E-02     1.19448E-01    -4.49708E-02     1.65470E-01    -1.15410E-01     3.75891E-01    -3.90178E-01     1.24087E+00
     2.82252E-01    -1.05879E-19     2.53437E-01    -3.44672E-02     2.33422E-01    -9.60870E-02     4.18041E-01    -3.17204E-01     1.17103E+00    -1.30894E+00     4.54245E+00
     3.92699E-01     5.51101E-20     3.36043E-01    -5.02288E-02     3.94648E-01    -1.80233E-01     8.76116E-01    -7.48288E-01     2.97903E+00    -3.79875E+00     1.37724E+01
     5.52233E-01     1.37074E-19     4.34673E-01    -7.23268E-02     6.39661E-01    -3.24822E-01     1.73490E+00    -1.64199E+00     7.05251E+00    -9.92376E+00     3.82190E+01
     7.85398E-01     2.96938E-19     5.56162E-01    -1.03815E-01     1.01763E+00    -5.89280E-01     3.37103E+00    -3.70444E+00     1.66255E+01    -2.74890E+01     1.09485E+02
     1.11674E+00     2.67292E-19     7.03514E-01    -1.32995E-01     1.56598E+00    -9.10209E-01     6.07258E+00    -6.57983E+00     3.38750E+01    -5.40316E+01     2.44448E+02
     1.57080E+00     2.21266E-18     8.58004E-01    -1.44445E-01     2.25225E+00    -1.16055E+00     1.00246E+01    -9.84991E+00     6.36669E+01    -9.68453E+01     5.29782E+02
     2.22120E+00    -8.85573E-19     1.00723E+00    -9.49808E-02     3.00939E+00    -9.30612E-01     1.49090E+01    -9.41000E+00     1.03085E+02    -1.07558E+02     9.14562E+02
     3.14159E+00     7.03276E-19     1.08191E+00    -6.88739E-16     3.43605E+00     6.64243E-18     1.80170E+01    -1.71446E-14     1.33711E+02     7.21406E-15     1.30883E+03
     4.44241E+00    -2.87277E-19     9.29625E-01     1.30594E-01     2.59732E+00     1.14221E+00     1.22116E+01     1.05455E+01     8.18789E+01     1.12641E+02     7.21430E+02
     6.28319E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00
